Line,Reference Designator,Quantity,Purchase Quantity,Digi-Key Part Number,Manufacturer Part Number,Status,Active,In Stock,Immediate,Quantity Available,Selected Package In Stock,Marketplace,Unit Price JPY,Line Total JPY,Product URL,Reasons
2,U1,1,1,296-26969-1-ND,TPS40210DGQR,アクティブ,yes,yes,yes,13063,yes,no,450.00,450.00,https://www.digikey.jp/ja/products/detail/texas-instruments/TPS40210DGQR/1907864,
3,FHV1,1,1,18-0437.750KRACT-ND,0437.750KRA,アクティブ,yes,yes,yes,19416,yes,no,285.00,285.00,https://www.digikey.jp/ja/products/detail/littelfuse-inc/0437-750KRA/15297219,
4,L1,1,1,732-1702-1-ND,7447709102,アクティブ,yes,yes,yes,3688,yes,no,429.00,429.00,https://www.digikey.jp/ja/products/detail/würth-elektronik/7447709102/1994067,
5,Q1,1,1,497-13937-1-ND,STD10N60M2,アクティブ,yes,yes,yes,2447,yes,no,297.00,297.00,https://www.digikey.jp/ja/products/detail/stmicroelectronics/STD10N60M2/4357546,
6,D1,1,1,497-3776-1-ND,STTH2R06U,アクティブ,yes,yes,yes,16670,yes,no,98.00,98.00,https://www.digikey.jp/ja/products/detail/stmicroelectronics/STTH2R06U/691875,
7,CIN1 CIN2,2,2,490-14678-1-ND,GRM31CR71E106KA12K,アクティブ,yes,yes,yes,16777,yes,no,52.00,104.00,https://www.digikey.jp/ja/products/detail/murata-electronics/GRM31CR71E106KA12K/4905618,
8,CINB1 CINB2,2,2,490-5313-1-ND,GRM32ER71E226KE15L,アクティブ,yes,yes,yes,93798,yes,no,127.00,254.00,https://www.digikey.jp/ja/products/detail/murata-electronics/GRM32ER71E226KE15L/2039040,
9,COUT1 COUT2 COUT3,3,3,490-3550-1-ND,GRM55DR72E105KW01L,アクティブ,yes,yes,yes,8076,yes,no,188.00,564.00,https://www.digikey.jp/ja/products/detail/murata-electronics/GRM55DR72E105KW01L/789398,
10,CVDD1 CBP1 CSS1,3,3,490-10673-1-ND,GCM188R71E105KA64D,アクティブ,yes,yes,yes,740249,yes,no,32.00,96.00,https://www.digikey.jp/ja/products/detail/murata-electronics/GCM188R71E105KA64D/4903956,
11,CRC1,1,1,490-4767-1-ND,GCM1885C1H101JA16D,アクティブ,yes,yes,yes,2080401,yes,no,23.00,23.00,https://www.digikey.jp/ja/products/detail/murata-electronics/GCM1885C1H101JA16D/1641641,
12,CIFLT1,1,1,490-4965-1-ND,GCM1885C1H471JA16D,アクティブ,yes,yes,yes,28260,yes,no,33.00,33.00,https://www.digikey.jp/ja/products/detail/murata-electronics/GCM1885C1H471JA16D/1765213,
13,CCOMP1,1,1,490-1459-1-ND,GRM1885C1H222JA01D,アクティブ,yes,yes,yes,310473,yes,no,17.00,17.00,https://www.digikey.jp/ja/products/detail/murata-electronics/GRM1885C1H222JA01D/586951,
14,CHF1,1,1,490-GCM1885C1H470GA16JCT-ND,GCM1885C1H470GA16J,アクティブ,yes,yes,yes,7433,yes,no,40.00,40.00,https://www.digikey.jp/ja/products/detail/murata-electronics/GCM1885C1H470GA16J/17843659,
15,RSNS1,1,1,10-ERJ-8BSFR15VCT-ND,ERJ-8BSFR15V,アクティブ,yes,yes,yes,33914,yes,no,80.00,80.00,https://www.digikey.jp/ja/products/detail/panasonic-industry/ERJ-8BSFR15V/3982644,
16,RIFLT1 REN1,2,2,P1.0KGCT-ND,ERJ-3GEYJ102V,アクティブ,yes,yes,yes,26489,yes,no,17.00,34.00,https://www.digikey.jp/ja/products/detail/panasonic-industry/ERJ-3GEYJ102V/68472,
17,RRC1 RKP1-RKP10,11,11,P1.00MCCT-ND,ERJ-6ENF1004V,アクティブ,yes,yes,yes,179408,yes,no,9.70,106.70,https://www.digikey.jp/ja/products/detail/panasonic-industry/ERJ-6ENF1004V/112223,
18,RG1,1,1,P10.2HCT-ND,ERJ-3EKF10R2V,アクティブ,yes,yes,yes,15585,yes,no,17.00,17.00,https://www.digikey.jp/ja/products/detail/panasonic-industry/ERJ-3EKF10R2V/196067,
19,RFB1 RFB2 RFB3 RFB4 RFB5,5,5,P20.0KCCT-ND,ERJ-6ENF2002V,アクティブ,yes,yes,yes,325297,yes,no,20.00,100.00,https://www.digikey.jp/ja/products/detail/panasonic-industry/ERJ-6ENF2002V/111532,
20,RFB6,1,1,P412CCT-ND,ERJ-6ENF4120V,アクティブ,yes,yes,yes,63517,yes,no,20.00,20.00,https://www.digikey.jp/ja/products/detail/panasonic-industry/ERJ-6ENF4120V/111207,
21,RCOMP1,1,1,P68.0KCCT-ND,ERJ-6ENF6802V,アクティブ,yes,yes,yes,68588,yes,no,20.00,20.00,https://www.digikey.jp/ja/products/detail/panasonic-industry/ERJ-6ENF6802V/1746528,
22,RBLD1 RBLD2 RBLD3,3,3,P1.10MCCT-ND,ERJ-6ENF1104V,アクティブ,yes,yes,yes,36076,yes,no,20.00,60.00,https://www.digikey.jp/ja/products/detail/panasonic-industry/ERJ-6ENF1104V/282710,
23,RENPD1 ROE1 RBOOT1 RCANSTB1 RCANSHDN1 RALPD1-RALPD6 RCOLPD1-RCOLPD4 R3V3EN1,16,16,P100KHCT-ND,ERJ-3EKF1003V,アクティブ,yes,yes,yes,1205198,yes,no,6.50,104.00,https://www.digikey.jp/ja/products/detail/panasonic-industry/ERJ-3EKF1003V/196075,
24,U2,1,1,497-STM32G0B1CBT6-ND,STM32G0B1CBT6,アクティブ,yes,yes,yes,776,yes,no,692.00,692.00,https://www.digikey.jp/ja/products/detail/stmicroelectronics/STM32G0B1CBT6/18086231,
25,U3,1,1,31-AP63203QWU-7CT-ND,AP63203QWU-7,アクティブ,yes,yes,yes,159,yes,no,165.00,165.00,https://www.digikey.jp/ja/products/detail/diodes-incorporated/AP63203QWU-7/16548045,
26,L2,1,1,732-10705-1-ND,74439346068,アクティブ,yes,yes,yes,6411,yes,no,675.00,675.00,https://www.digikey.jp/ja/products/detail/würth-elektronik/74439346068/6236304,
27,U4,1,1,296-49940-1-ND,TCAN334GDR,アクティブ,yes,yes,yes,6731,yes,no,597.00,597.00,https://www.digikey.jp/ja/products/detail/texas-instruments/TCAN334GDR/5957539,
28,U5 U6 U7,3,3,296-14857-1-ND,SN74HC595DR,アクティブ,yes,yes,yes,42682,yes,no,102.00,306.00,https://www.digikey.jp/ja/products/detail/texas-instruments/SN74HC595DR/562919,
29,U8 U9,2,2,296-26653-1-ND,SN75468DR,アクティブ,yes,yes,yes,2808,yes,no,295.00,590.00,https://www.digikey.jp/ja/products/detail/texas-instruments/SN75468DR/1593427,
30,QAH1 QAH2 QAH3 QAH4 QAH5 QAH6,6,6,MMBTA92-FDICT-ND,MMBTA92-7-F,アクティブ,yes,yes,yes,603869,yes,no,40.00,240.00,https://www.digikey.jp/ja/products/detail/diodes-incorporated/MMBTA92-7-F/717771,
31,QAL1 QAL2 QAL3 QAL4 QAL5 QAL6 QCOL1 QCOL2 QCOL3 QCOL4,10,10,MMBTA42-FDICT-ND,MMBTA42-7-F,アクティブ,yes,yes,yes,196339,yes,no,21.70,217.00,https://www.digikey.jp/ja/products/detail/diodes-incorporated/MMBTA42-7-F/814500,
32,D2,1,1,296-ESD2CAN24DBZRQ1CT-ND,ESD2CAN24DBZRQ1,アクティブ,yes,yes,yes,306537,yes,no,62.00,62.00,https://www.digikey.jp/ja/products/detail/texas-instruments/ESD2CAN24DBZRQ1/16982061,
33,Y1,1,1,50-ECS-80-12-33-JGN-CT-ND,ECS-80-12-33-JGN-TR,アクティブ,yes,yes,yes,8191,yes,no,97.00,97.00,https://www.digikey.jp/ja/products/detail/ecs-inc/ECS-80-12-33-JGN-TR/10478754,
34,JCAN1,1,1,ED10562-ND,OSTVN03A150,アクティブ,yes,yes,yes,17649,yes,no,213.00,213.00,https://www.digikey.jp/ja/products/detail/on-shore-technology-inc/OSTVN03A150/1588863,
35,JSWD1,1,1,SAM8796-ND,FTSH-105-01-F-DV-K,アクティブ,yes,yes,yes,37153,yes,no,379.00,379.00,https://www.digikey.jp/ja/products/detail/samtec-inc/FTSH-105-01-F-DV-K/2649974,
36,C3V3IN1 C3V3IN2,2,2,490-GRJ31CR71H475KE11KCT-ND,GRJ31CR71H475KE11K,アクティブ,yes,yes,yes,5980,yes,no,100.00,200.00,https://www.digikey.jp/ja/products/detail/murata-electronics/GRJ31CR71H475KE11K/10702263,
37,C3V3OUT1 C3V3OUT2,2,2,490-14468-1-ND,GRM31CC81E226KE11L,アクティブ,yes,yes,yes,58999,yes,no,140.00,280.00,https://www.digikey.jp/ja/products/detail/murata-electronics/GRM31CC81E226KE11L/6606097,
38,CBOOT1 C3V3HF1 CDEC1-CDEC8,10,10,490-3285-1-ND,GRM188R72A104KA35D,アクティブ,yes,yes,yes,1487430,yes,no,13.80,138.00,https://www.digikey.jp/ja/products/detail/murata-electronics/GRM188R72A104KA35D/702549,
39,CY1 CY2,2,2,490-GCM1885C1H180FA16DCT-ND,GCM1885C1H180FA16D,アクティブ,yes,yes,yes,1302,yes,no,50.00,100.00,https://www.digikey.jp/ja/products/detail/murata-electronics/GCM1885C1H180FA16D/17852988,
40,CVPRE1,1,1,490-3542-1-ND,GRM31CR72E104KW03L,アクティブ,yes,yes,yes,51345,yes,no,88.00,88.00,https://www.digikey.jp/ja/products/detail/murata-electronics/GRM31CR72E104KW03L/789390,
41,RALB1-RALB6 RCOLB1-RCOLB4 RNRST1 RSRCLR1,12,12,P10.0KHCT-ND,ERJ-3EKF1002V,アクティブ,yes,yes,yes,3974624,yes,no,6.50,78.00,https://www.digikey.jp/ja/products/detail/panasonic-industry/ERJ-3EKF1002V/196066,
42,RAHOFF1A-RAHOFF6B,12,12,P499KCCT-ND,ERJ-6ENF4993V,アクティブ,yes,yes,yes,197025,yes,no,9.70,116.40,https://www.digikey.jp/ja/products/detail/panasonic-industry/ERJ-6ENF4993V/112126,
43,RAHDRV1A-RAHDRV6B,12,12,P220KCCT-ND,ERJ-6ENF2203V,アクティブ,yes,yes,yes,29240,yes,no,9.70,116.40,https://www.digikey.jp/ja/products/detail/panasonic-industry/ERJ-6ENF2203V/1746544,
44,RA1-RA6,6,6,10-ERJ-P08F2201VCT-ND,ERJ-P08F2201V,アクティブ,yes,yes,yes,7746,yes,no,38.00,228.00,https://www.digikey.jp/ja/products/detail/panasonic-industry/ERJ-P08F2201V/9812790,
45,RINS1-RINS4,4,4,10-ERJ-P08F1803VCT-ND,ERJ-P08F1803V,アクティブ,yes,yes,yes,2064,yes,no,38.00,152.00,https://www.digikey.jp/ja/products/detail/panasonic-industry/ERJ-P08F1803V/9812747,
46,RPREH1 RPREL1,2,2,P180KCCT-ND,ERJ-6ENF1803V,アクティブ,yes,yes,yes,29682,yes,no,20.00,40.00,https://www.digikey.jp/ja/products/detail/panasonic-industry/ERJ-6ENF1803V/1746469,
47,RT1,1,1,P120HCT-ND,ERJ-3EKF1200V,アクティブ,yes,yes,yes,466355,yes,no,17.00,17.00,https://www.digikey.jp/ja/products/detail/panasonic-industry/ERJ-3EKF1200V/1746300,
